date,team_a,team_b,result
10/6/70,Brasile,Romania,3-2
10/6/70,Germania,Per,3-1
11/6/70,Messico,Belgio,1-0
11/6/70,Italia,Israele,0-0
11/6/70,Inghilterra,Cecoslovacchia,1-0
11/6/70,Bulgaria,Marocco,1-1
14/06/70,Uruguai,Unione Sovietica,1-0
14/06/70,Italia,Messico,4-1
14/06/70,Brasile,Per,4-2
14/06/70,Germania,Inghilterra,3-2
17/06/70,Italia,Germania,4-3
17/06/70,Brasile,Uruguai,3-1
20/06/70,Germania,Uruguai,1-0
21/06/70,Brasile,Italia,4-1
13/06/74,Brasile,Yugoslavia,0-0
14/06/74,Germania Est,Australia,2-0
14/06/74,Germania,Cile,1-0
14/06/74,Zaire,Scozia,0-2
15/06/74,Svezia,Bulgaria,0-0
15/06/74,Uruguai,Olanda,0-2
15/06/74,Polonia,Argentina,3-2
15/06/74,Italia,Haiti,3-1
18/06/74,Cile,Germania Est,1-1
18/06/74,Australia,Germania,0-3
18/06/74,Scozia,Brasile,0-0
18/06/74,Yugoslavia,Zaire,9-0
19/06/74,Olanda,Svezia,0-0
19/06/74,Bulgaria,Uruguai,1-1
19/06/74,Argentina,Italia,1-1
19/06/74,Haiti,Polonia,0-7
22/06/74,Germania Est,Germania,1-0
22/06/74,Australia,Cile,0-0
22/06/74,Zaire,Brasile,0-3
22/06/74,Scozia,Yugoslavia,1-1
23/06/74,Svezia,Uruguai,3-0
23/06/74,Bulgaria,Olanda,1-4
23/06/74,Polonia,Italia,2-1
23/06/74,Argentina,Haiti,4-1
26/06/74,Brasile,Germania Est,1-0
26/06/74,Olanda,Argentina,4-0
26/06/74,Yugoslavia,Germania,0-2
26/06/74,Svezia,Polonia,0-1
30/06/74,Germania Est,Olanda,0-2
30/06/74,Argentina,Brasile,1-2
30/06/74,Germania,Svezia,4-2
30/06/74,Polonia,Yugoslavia,2-1
3/7/74,Olanda,Brasile,2-0
3/7/74,Argentina,Germania Est,1-1
3/7/74,Svezia,Yugoslavia,2-1
3/7/74,Polonia,Germania,0-1
6/7/74,Brasile,Polonia,0-1
7/7/74,Olanda,Germania,1-2
1/6/78,Germania,Polonia,0-0
2/6/78,Argentina,Ungheria,2-1
2/6/78,Italia,Francia,2-1
2/6/78,Tunisia,Messico,3-1
3/6/78,Svezia,Brasile,1-1
3/6/78,Austria,Spagna,2-1
3/6/78,Olanda,Iran,3-0
3/6/78,Per,Scozia,3-1
6/6/78,Argentina,Francia,2-1
6/6/78,Italia,Ungheria,3-1
6/6/78,Germania,Messico,6-0
6/6/78,Polonia,Tunisia,1-0
7/6/78,Brasile,Spagna,0-0
7/6/78,Austria,Svezia,1-0
7/6/78,Olanda,Per,0-0
7/6/78,Scozia,Iran,1-1
10/6/78,Italia,Argentina,1-0
10/6/78,Francia,Ungheria,3-1
10/6/78,Polonia,Messico,3-1
10/6/78,Germania,Tunisia,0-0
11/6/78,Brasile,Austria,1-0
11/6/78,Spagna,Svezia,1-0
11/6/78,Scozia,Olanda,3-2
11/6/78,Per,Iran,4-1
14/06/78,Germania,Italia,0-0
14/06/78,Olanda,Austria,5-1
14/06/78,Argentina,Polonia,2-0
14/06/78,Brasile,Per,3-0
18/06/78,Italia,Austria,1-0
18/06/78,Germania,Olanda,2-2
18/06/78,Polonia,Per,1-0
18/06/78,Argentina,Brasile,0-0
21/06/78,Olanda,Italia,2-1
21/06/78,Austria,Germania,3-2
21/06/78,Argentina,Per,6-0
21/06/78,Brasile,Polonia,3-1
24/06/78,Brasile,Italia,2-1
25/06/78,Argentina,Olanda,3-1
13/06/82,Argentina,Belgio,0-1
14/06/82,Italia,Polonia,0-0
14/06/82,Brasile,Unione Sovietica,2-1
15/06/82,Per,Camerun,0-0
15/06/82,Ungheria,El Salvador,10-1
15/06/82,Scozia,Nuova Zelanda,5-2
16/06/82,Germania,Algeria,1-2
16/06/82,Inghilterra,Francia,3-1
16/06/82,Spagna,Honduras,1-1
17/06/82,Cile,Austria,0-1
17/06/82,Cecoslovacchia,Kuwait,1-1
17/06/82,Yugoslavia,Irlanda del Nord,0-0
18/06/82,Italia,Per,1-1
18/06/82,Argentina,Ungheria,4-1
18/06/82,Brasile,Scozia,4-1
19/06/82,Polonia,Camerun,0-0
19/06/82,Belgio,El Salvador,1-0
19/06/82,Unione Sovietica,Nuova Zelanda,3-0
20/06/82,Germania,Cile,4-1
20/06/82,Inghilterra,Cecoslovacchia,2-0
20/06/82,Spagna,Yugoslavia,2-1
21/06/82,Algeria,Austria,0-2
21/06/82,Francia,Kuwait,4-1
21/06/82,Honduras,Irlanda del Nord,1-1
22/06/82,Polonia,Per,5-1
22/06/82,Belgio,Ungheria,1-1
22/06/82,Unione Sovietica,Scozia,2-2
23/06/82,Italia,Camerun,1-1
23/06/82,Argentina,El Salvador,2-0
23/06/82,Brasile,Nuova Zelanda,4-0
24/06/82,Algeria,Cile,3-2
24/06/82,Francia,Cecoslovacchia,1-1
24/06/82,Honduras,Yugoslavia,0-1
25/06/82,Germania,Austria,1-0
25/06/82,Inghilterra,Kuwait,1-0
25/06/82,Irlanda del Nord,Spagna,1-0
28/06/82,Polonia,Belgio,3-0
28/06/82,Austria,Francia,0-1
29/06/82,Germania,Inghilterra,0-0
29/06/82,Italia,Argentina,2-1
1/7/82,Belgio,Unione Sovietica,0-1
1/7/82,Austria,Irlanda del Nord,2-2
2/7/82,Germania,Spagna,2-1
2/7/82,Argentina,Brasile,1-3
4/7/82,Polonia,Unione Sovietica,0-0
4/7/82,Francia,Irlanda del Nord,4-1
5/7/82,Spagna,Inghilterra,0-0
5/7/82,Italia,Brasile,3-2
8/7/82,Polonia,Italia,0-2
8/7/82,Germania,Francia,5-4
10/7/82,Polonia,Francia,3-2
11/7/82,Italia,Germania,3-1
31/05/86,Bulgaria,Italia,1-1
1/6/86,Canada,Francia,0-1
1/6/86,Spagna,Brasile,0-1
2/6/86,Argentina,Corea del Sud,3-1
2/6/86,Unione Sovietica,Ungheria,6-0
2/6/86,Marocco,Polonia,0-0
3/6/86,Belgio,Messico,1-2
3/6/86,Algeria,Irlanda del Nord,1-1
3/6/86,Portogallo,Inghilterra,1-0
4/6/86,Paraguay,Iraq,1-0
4/6/86,Scozia,Danimarca,0-1
4/6/86,Uruguai,Germania,1-1
5/6/86,Corea del Sud,Bulgaria,1-1
5/6/86,Italia,Argentina,1-1
5/6/86,Francia,Unione Sovietica,1-1
6/6/86,Ungheria,Canada,2-0
6/6/86,Brasile,Algeria,1-0
6/6/86,Inghilterra,Marocco,0-0
7/6/86,Messico,Paraguay,1-1
7/6/86,Irlanda del Nord,Spagna,1-2
7/6/86,Polonia,Portogallo,1-0
8/6/86,Iraq,Belgio,1-2
8/6/86,Danimarca,Uruguai,6-1
8/6/86,Germania,Scozia,2-1
9/6/86,Unione Sovietica,Canada,2-0
9/6/86,Ungheria,Francia,0-3
10/6/86,Argentina,Bulgaria,2-0
10/6/86,Corea del Sud,Italia,2-3
11/6/86,Iraq,Messico,0-1
11/6/86,Paraguay,Belgio,2-2
11/6/86,Portogallo,Marocco,1-3
11/6/86,Inghilterra,Polonia,3-0
12/6/86,Irlanda del Nord,Brasile,0-3
12/6/86,Algeria,Spagna,0-3
13/06/86,Scozia,Uruguai,0-0
13/06/86,Danimarca,Germania,2-0
15/06/86,Unione Sovietica,Belgio,3-4
15/06/86,Messico,Bulgaria,2-0
16/06/86,Argentina,Uruguai,1-0
16/06/86,Brasile,Polonia,4-0
17/06/86,Marocco,Germania,0-1
17/06/86,Italia,Francia,0-2
18/06/86,Inghilterra,Paraguay,3-0
18/06/86,Danimarca,Spagna,1-5
21/06/86,Germania,Messico,4-1
21/06/86,Brasile,Francia,3-4
22/06/86,Spagna,Belgio,4-5
22/06/86,Argentina,Inghilterra,2-1
25/06/86,Argentina,Belgio,2-0
25/06/86,Francia,Germania,0-2
28/06/86,Francia,Belgio,4-2
29/06/86,Argentina,Germania,3-2
8/6/90,Argentina,Camerun,0-1
9/6/90,Italia,Austria,1-0
9/6/90,Unione Sovietica,Romania,0-2
9/6/90,Emirati Arabi Uniti,Colombia,0-2
10/6/90,USA,Cecoslovacchia,1-5
